School_ID,Safety_Icon,Safety_Score,Environment_Icon,Environment_Score,CPS_Performance_Policy_Status,CPS_Performance_Policy_Level,Healthy_Schools_Certified,Adequate_Yearly_Progress_Made,Individualized_Education_Program_Compliance_Rate
610075.0,Weak,28,Average,42,Not Applicable,Level 3,No,,
610076.0,Average,50,Average,47,Probation,Level 2,No,,
610077.0,Weak,28,Weak,32,Probation,Level 3,No,,
610078.0,Strong,67,Average,50,Not on Probation,Level 1,No,,
610081.0,Strong,74,Average,53,Not on Probation,Level 1,No,,
610082.0,Very Strong,84,Average,58,Not on Probation,Level 1,No,,
610083.0,NDA,,NDA,,Not Applicable,Not Enough Data,No,,
610084.0,Very Strong,99,Very Strong,85,Not on Probation,Level 1,No,,
610085.0,Average,50,Weak,27,Not Applicable,Level 3,No,,
610086.0,Weak,31,Average,42,Not on Probation,Level 2,No,,
610087.0,NDA,,NDA,,NDA,NDA,No,,
610088.0,Average,41,Average,56,Not on Probation,Level 2,No,,
610089.0,Very Strong,80,Strong,75,Not on Probation,Level 1,No,,
610090.0,Strong,66,Weak,34,Not on Probation,Level 2,No,,
610091.0,Weak,31,Average,52,Not on Probation,Level 2,No,,
610092.0,Average,41,Strong,68,Probation,Level 3,No,,
610093.0,Average,42,Weak,27,Probation,Level 3,No,,
610094.0,Average,58,Weak,34,Not on Probation,Level 1,No,,
610095.0,Strong,71,Average,52,Not on Probation,Level 1,No,,
610096.0,Weak,35,Average,40,Not on Probation,Level 2,No,,
610097.0,Average,52,Strong,70,Not on Probation,Level 2,No,,
610098.0,Weak,37,Weak,37,Not on Probation,Level 2,No,,
610099.0,Very Strong,99,Strong,69,Not on Probation,Level 1,No,,
610100.0,Weak,29,Weak,36,Probation,Level 3,No,,
610101.0,NDA,,NDA,,Not on Probation,Level 2,No,,
610102.0,Average,44,Average,49,Probation,Level 3,No,,
610103.0,Very Weak,17,Weak,28,Probation,Level 3,No,,
610104.0,Strong,64,Weak,29,Not on Probation,Level 1,No,,
610105.0,Very Strong,99,Very Strong,88,Not on Probation,Level 1,No,,
610106.0,Weak,27,Weak,29,Probation,Level 3,No,,
610107.0,Very Strong,83,Strong,67,Probation,Level 1,No,,
610108.0,Very Weak,5,Weak,33,Probation,Level 3,No,,
610109.0,Average,49,Weak,39,Not on Probation,Level 1,No,,
610110.0,Average,49,Strong,64,Probation,Level 3,No,,
610111.0,Strong,75,Strong,61,Not on Probation,Level 2,No,,
610112.0,Weak,30,Average,53,Not on Probation,Level 2,No,,
610114.0,Weak,38,Average,45,Probation,Level 3,No,,
610115.0,Weak,28,Average,42,Probation,Level 3,No,,
610116.0,NDA,,NDA,,Probation,Level 3,No,,
610117.0,Average,50,Average,42,Not on Probation,Level 2,No,,
610119.0,Average,51,Average,50,Not on Probation,Level 2,No,,
610120.0,Average,51,Average,43,Not on Probation,Level 1,No,,
610121.0,Average,43,Weak,34,Not on Probation,Level 2,No,,
610122.0,Average,58,Weak,32,Not on Probation,Level 2,No,,
610123.0,Strong,78,Very Strong,99,Probation,Level 3,No,,
610124.0,Weak,28,Average,45,Not on Probation,Level 2,No,,
610125.0,Average,57,Average,57,Not on Probation,Level 2,Yes,,
610126.0,NDA,,NDA,,Not on Probation,Level 1,No,,
610127.0,Strong,62,Average,49,Not on Probation,Level 1,No,,
610128.0,Average,50,Average,50,Not on Probation,Level 2,No,,
610129.0,Average,50,Weak,35,Probation,Level 2,No,,
610130.0,Weak,26,Strong,63,Not on Probation,Level 2,No,,
610131.0,Average,45,Weak,32,Not on Probation,Level 2,No,,
610132.0,Very Strong,99,Strong,66,Not on Probation,Level 1,No,,
610133.0,NDA,,NDA,,Probation,Level 3,No,,
610134.0,Average,48,Strong,73,Probation,Level 3,No,,
610135.0,Strong,62,Average,46,Not on Probation,Level 2,No,,
610136.0,Very Strong,90,Average,51,Not on Probation,Level 2,No,,
610137.0,Strong,71,Average,49,Not on Probation,Level 2,No,,
610138.0,Strong,68,Average,54,Not on Probation,Level 1,No,,
610139.0,Average,59,Strong,66,Not on Probation,Level 2,No,,
610141.0,Average,46,Average,42,Not on Probation,Level 2,No,,
610142.0,Strong,69,Weak,22,Not on Probation,Level 1,No,,
610143.0,Average,48,Weak,37,Probation,Level 3,No,,
610144.0,Average,48,Weak,33,Probation,Level 2,No,,
610145.0,Strong,60,Weak,35,Not on Probation,Level 1,No,,
610146.0,Weak,36,Average,42,Probation,Level 3,No,,
610147.0,Very Strong,81,Strong,68,Not on Probation,Level 1,No,,
610148.0,Average,54,Strong,63,Not on Probation,Level 1,No,,
610150.0,Weak,39,Average,51,Probation,Level 3,No,,
610152.0,Average,43,Weak,37,Probation,Level 2,No,,
610153.0,Weak,34,Average,42,Probation,Level 3,No,,
610154.0,Average,40,Average,48,Not on Probation,Level 1,No,,
610155.0,Very Strong,99,Strong,76,Not on Probation,Level 1,No,,
610156.0,Average,42,Average,49,Probation,Level 3,No,,
610157.0,Average,57,Average,41,Not on Probation,Level 2,No,,
610158.0,Strong,68,Average,41,Not on Probation,Level 2,No,,
610159.0,Average,44,Weak,21,Not on Probation,Level 2,No,,
610160.0,Very Weak,17,Average,47,Probation,Level 3,No,,
610161.0,Weak,33,Average,48,Probation,Level 3,No,,
610163.0,NDA,,NDA,,NDA,NDA,No,,
610165.0,NDA,,NDA,,Probation,Level 3,No,,
610167.0,Average,40,Weak,38,Not on Probation,Level 2,No,,
610169.0,Weak,23,Weak,38,Probation,Level 3,No,,
610170.0,Average,59,Average,59,Not on Probation,Level 2,No,,
610171.0,Weak,27,Average,43,Probation,Level 3,No,,
610172.0,Weak,32,Average,46,Probation,Level 3,No,,
610173.0,Weak,38,Average,47,Probation,Level 2,No,,
610174.0,Weak,38,Average,57,Not on Probation,Level 2,No,,
610175.0,Average,45,Average,40,Probation,Level 2,No,,
610176.0,Weak,32,Average,43,Probation,Level 3,No,,
610177.0,Very Strong,87,Average,48,Not on Probation,Level 1,No,,
610178.0,Average,46,Weak,31,Not on Probation,Level 2,No,,
610179.0,Average,55,Average,43,Not on Probation,Level 1,No,,
610180.0,Weak,37,Average,54,Probation,Level 3,No,,
610182.0,Strong,78,Strong,67,Not on Probation,Level 1,No,,
610183.0,Weak,35,Average,57,Not on Probation,Level 2,No,,
610184.0,Strong,66,Strong,70,Not on Probation,Level 2,No,,
610185.0,Strong,61,Average,50,Not on Probation,Level 2,No,,
610187.0,Average,49,Average,46,Probation,Level 2,No,,
610188.0,Average,46,Strong,65,Not on Probation,Level 1,No,,
610189.0,Weak,37,Average,51,Not on Probation,Level 2,No,,
610191.0,Strong,78,Average,55,Not on Probation,Level 1,No,,
610192.0,Weak,28,Weak,26,Probation,Level 3,No,,
610193.0,Weak,27,Weak,35,Probation,Level 3,No,,
610194.0,Average,41,Average,44,Probation,Level 3,No,,
610195.0,Very Strong,86,Strong,64,Not on Probation,Level 2,No,,
610196.0,Strong,61,Strong,62,Not on Probation,Level 2,No,,
610197.0,Strong,63,Average,59,Not on Probation,Level 1,No,,
610198.0,Weak,34,Weak,20,Not on Probation,Level 2,No,,
610199.0,Strong,60,Average,56,Not on Probation,Level 2,No,,
610200.0,Weak,32,Weak,39,Probation,Level 3,No,,
610201.0,Strong,70,Average,47,Not on Probation,Level 1,No,,
610202.0,Very Weak,6,Weak,30,Probation,Level 3,No,,
610203.0,NDA,,NDA,,Not on Probation,Level 2,No,,
610205.0,Average,56,Average,47,Probation,Level 3,No,,
610206.0,Strong,67,Average,46,Not on Probation,Level 1,No,,
610207.0,Strong,74,Weak,24,Not on Probation,Level 2,No,,
610208.0,Very Weak,15,Average,41,Probation,Level 3,No,,
610209.0,Average,43,Weak,28,Not on Probation,Level 2,No,,
610210.0,Weak,31,Weak,32,Probation,Level 3,No,,
610212.0,Strong,66,Strong,66,Not on Probation,Level 1,No,,
610213.0,NDA,,NDA,,Probation,Level 3,No,,
610215.0,Average,49,Average,48,Probation,Level 2,Yes,,
610216.0,Strong,60,Strong,70,Not on Probation,Level 2,Yes,,
610217.0,Average,49,Average,50,Not on Probation,Level 1,No,,
610218.0,Weak,33,Average,49,Not on Probation,Level 2,No,,
