School_ID,ISAT_Exceeding_Math,ISAT_Exceeding_Reading,ISAT_Value_Add_Math,ISAT_Value_Add_Read,ISAT_Value_Add_Color_Math,ISAT_Value_Add_Color_Read
610005,12.2,4.7,0.5,-1.0,Yellow,Yellow
610006,16.4,11.7,0.0,0.8,Yellow,Green
610009,26.5,22.3,-1.0,-0.8,Red,Red
610010,23.9,15.2,0.3,0.0,Yellow,Yellow
610011,37.5,23.7,0.3,0.6,Yellow,Yellow
610012,8.2,1.3,2.0,0.2,Green,Yellow
610013,18.0,12.8,-1.0,0.3,Red,Yellow
610015,7.8,6.6,0.1,-0.7,Yellow,Yellow
610016,24.2,30.9,-0.4,0.7,Yellow,Yellow
610017,24.3,16.0,2.0,1.7,Green,Green
610018,21.6,7.8,-0.2,-1.2,Yellow,Red
610019,22.3,16.2,1.9,1.1,Green,Yellow
610020,11.3,5.9,0.9,1.5,Green,Green
610021,9.6,5.0,-1.1,-0.3,Red,Yellow
610022,22.8,15.0,-0.2,-0.6,Yellow,Yellow
610023,10.6,8.4,0.3,-0.4,Yellow,Yellow
610024,26.3,15.8,,,NDA,NDA
610026,32.6,19.7,0.4,-0.3,Yellow,Yellow
610027,20.9,21.2,-0.6,0.2,Red,Yellow
610028,5.0,5.6,0.5,-0.1,Yellow,Yellow
610029,9.3,11.3,-0.4,-0.2,Yellow,Yellow
610030,5.0,6.1,-1.2,-1.1,Red,Red
610031,8.3,6.2,-0.3,-1.3,Yellow,Red
610032,25.8,15.7,2.2,1.0,Green,Green
610033,55.5,49.5,0.3,-0.3,Yellow,Yellow
610034,3.3,4.0,-2.1,-2.2,Red,Red
610036,4.0,5.0,-0.5,-0.1,Red,Yellow
610037,4.8,3.9,-0.4,-2.8,Yellow,Red
610038,69.7,64.4,0.2,0.9,Yellow,Green
610039,24.8,15.1,1.2,0.9,Green,Green
610040,23.5,10.5,-0.8,-0.3,Red,Yellow
610041,21.1,15.6,0.7,1.7,Green,Green
610043,9.1,8.3,-0.2,-0.3,Yellow,Yellow
610044,10.2,8.2,0.2,0.6,Yellow,Yellow
610045,2.7,3.4,-1.4,-1.3,Red,Red
610046,29.5,23.7,-0.3,0.4,Yellow,Yellow
610047,14.1,5.1,0.7,-0.9,Green,Yellow
610048,4.6,4.7,-1.1,-1.2,Red,Red
610051,11.3,5.9,-0.9,-1.4,Red,Red
610052,3.4,3.4,-0.7,0.1,Red,Yellow
610053,6.8,4.6,-1.4,-0.6,Red,Red
610054,18.9,14.5,-0.9,-0.8,Red,Red
610055,17.9,7.0,1.7,-1.1,Green,Red
610056,4.2,5.8,-2.1,-0.8,Red,Yellow
610057,4.1,4.3,0.1,-0.7,Yellow,Yellow
610058,9.4,5.6,-0.4,-0.8,Yellow,Red
610059,18.1,17.0,-0.6,0.1,Red,Yellow
610060,70.4,62.7,0.6,0.8,Green,Green
610061,15.5,6.0,0.7,-0.3,Green,Yellow
610062,22.7,21.3,0.0,0.9,Yellow,Yellow
610063,25.2,10.3,-0.2,0.5,Yellow,Yellow
610065,3.2,3.5,-0.4,-1.6,Yellow,Red
610066,73.3,74.1,-1.1,-0.7,Red,Yellow
610067,5.7,5.7,-0.6,0.2,Red,Yellow
610068,14.4,11.0,-0.8,-0.5,Red,Yellow
610070,15.4,15.9,-0.8,-0.6,Red,Yellow
610072,7.9,3.2,-0.7,0.3,Yellow,Yellow
610073,30.1,27.3,-0.5,-0.3,Yellow,Yellow
610074,15.5,11.6,-0.6,-0.4,Red,Yellow
610075,0.0,0.0,-0.6,-0.1,Yellow,Yellow
610076,24.0,7.5,1.4,0.2,Green,Yellow
610077,10.0,5.7,-0.8,-1.2,Red,Red
610078,27.6,21.3,1.1,1.9,Green,Green
