School_ID,Name_of_School,School_Type,Network_Manager,Collaborative_Name,Track_Schedule,General_Services_Route,Community_Area_Number
610269,John T McCutcheon Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,3
610271,Jensen Elementary Scholastic Academy,ES,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,Track_E,37,27
610273,Ignance Paderewski Elementary Learning Academy,ES,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,Track_E,37,30
610274,James Weldon Johnson Elementary School,ES,AUSL Schools,WEST SIDE COLLABORATIVE,Track_E,37,29
610276,Irvin C Mollison Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,40,38
610277,Anthony Overton Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,42,38
610279,Henry O Tanner Elementary School,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,46,69
610280,Kate S Buckingham Special Education Center,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,47,48
610281,Adam Clayton Powell Paideia Community Academy Elementary School,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,46,43
610282,Ronald E McNair Elementary School,ES,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,Track_E,36,25
610283,Simon Guggenheim Elementary School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,45,68
610284,New Field Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,1
610285,Granville T Woods Math & Science Academy Elementary School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,43,67
610287,Ashburn Community Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,44,70
610290,Benjamin E Mays Elementary Academy,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,45,68
610291,Richard Henry Lee Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,44,65
610293,Genevieve Melody Elementary School,ES,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,Track_E,36,26
610295,Thomas J Higgins Elementary Community Academy,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,49,53
610297,High School of Leadership at South Shore,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Standard,46,43
610298,Lenart Elementary Regional Gifted Center,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,45,44
610299,William A Hinton Elementary School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,45,68
610300,Oliver S Westcott Elementary School,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,45,44
610304,Phoenix Military Academy High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,38,28
610305,George Leland Elementary School,ES,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,Track_E,36,25
610308,Wilma Rudolph Elementary Learning Center,ES,Fulton Elementary Network,WEST SIDE COLLABORATIVE,Standard,38,28
610312,Mary E McDowell Elementary School,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,47,48
610313,Jose De Diego Elementary Community Academy,ES,Fulton Elementary Network,WEST SIDE COLLABORATIVE,Standard,35,24
610315,Edward White Elementary Career Academy,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,49,53
610316,Amelia Earhart Options for Knowledge Elementary School,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,47,48
610317,Brighton Park Elementary School,ES,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,39,58
610319,Evergreen Academy Middle School,MS,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,39,59
610320,Ana Roque de Duprey Elementary School,ES,Fulton Elementary Network,WEST SIDE COLLABORATIVE,Standard,34,24
610321,Thurgood Marshall Middle School,MS,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,16
610323,New Millennium High School of Health at Bowen,HS,South Side High School Network,SOUTH SIDE COLLABORATIVE,Standard,47,46
610325,Logandale Middle School,MS,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,29,21
610329,Orozco Fine Arts & Sciences Elementary School,ES,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,Standard,39,31
610334,Al Raby High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Track_E,34,27
610336,Williams Preparatory Academy Middle School,MS,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,40,35
610339,Amos Alonzo Stagg Elementary School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,45,68
610340,Chicago Academy High School,HS,AUSL Schools,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,30,17
610342,Albert R Sabin Elementary Magnet School,ES,Fulton Elementary Network,WEST SIDE COLLABORATIVE,Standard,35,24
610345,Carter G Woodson South Elementary School,ES,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Track_E,40,38
610347,Claremont Academy Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,43,66
610348,Nathan R Goldblatt Elementary School,ES,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,Track_E,36,26
610350,Robert A Black Magnet Elementary School,ES,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,Standard,47,48
610352,Durkin Park Elementary School,ES,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Standard,44,70
610353,Calmeca Academy of Fine Arts and Dual Language,ES,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,39,58
610354,North River Elementary School,ES,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,31,14
610355,Mary E Courtenay Elementary Language Arts Center,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,33,6
610357,Spry Community Links High School,HS,West Side High School Network,WEST SIDE COLLABORATIVE,Standard,39,30
610362,Medgar Evers Elementary School,ES,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,49,73
610363,Walt Disney Magnet Elementary School,ES,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Standard,32,3
610364,William E B Dubois Elementary School,ES,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Track_E,48,54
610365,Mary McLeod Bethune Elementary School,ES,AUSL Schools,WEST SIDE COLLABORATIVE,Track_E,37,27
610366,Charles H Wacker Elementary School,ES,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,49,73
610367,Oscar DePriest Elementary School,ES,Austin-North Lawndale Elementary Network,WEST SIDE COLLABORATIVE,Track_E,36,25
610368,Langston Hughes Elementary School,ES,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,Standard,48,49
610369,Mahalia Jackson Elementary School,ES,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,Track_E,49,71
